Goods Received Note (GRN)
Document Number,GRN-KNOT-20250709-HouseofKoala-REP-2024-001
Generated Date,09/07/2025
Generated Time,15:50:18

Order Information
PO Number,PO-2024-001
Vendor/Brand,House of Koala
Replenishment Number,REP-2024-001

Receipt Information
Inward Date,2025-07-09
Warehouse,WH-MUM-01
Receipt Accuracy,0%

Summary Statistics
Total Ordered Units,0
Total Received Units,1499
Total Shortage Units,0
Total Excess Units,0
Total Not Ordered Units,0
Total QC Passed Units,1499
Total QC Failed Units,0
QC Pass Rate,100%


S.No,Brand SKU,KNOT SKU,Size,Color,Received Qty,QC Status,Passed QC Qty,Failed QC Qty,Status,Remarks,QC Fail Reason
1,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
2,,,,,7,Passed,7,0,Received,All items received as ordered | QC: Passed (7 passed),
3,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
4,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
5,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
6,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
7,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
8,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
9,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
10,,,,,4,Passed,4,0,Received,All items received as ordered | QC: Passed (4 passed),
11,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
12,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
13,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
14,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
15,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
16,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
17,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
18,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
19,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
20,,,,,3,Passed,3,0,Received,All items received as ordered | QC: Passed (3 passed),
21,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
22,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
23,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
24,,,,,2,Passed,2,0,Received,All items received as ordered | QC: Passed (2 passed),
25,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
26,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
27,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
28,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
29,,,,,1,Passed,1,0,Received,All items received as ordered | QC: Passed (1 passed),
