SKU,Bin
KP-BLT2-XL,A11-S1-B1
KP-SG-32,A11-S1-B1
HOK-SHIRT-TILE-S,A11-S1-B1
KP-WHT2-S,A11-S1-B1
HOK-SH-PCBD-L,A11-S1-B1
KP-SG-30,A11-S1-B1
KP-SG-34,A11-S1-B1
LPH-BL-30,A11-S1-B1
KP-GYO-L,A11-S1-B1
D-PC-M-36,A11-S1-B1
KP-BK-36,A11-S1-B1
KP-BK-34,A11-S1-B1
D-PC-M-34,A11-S1-B1
KP-GYO-M,A11-S1-B2
HOK-SH-Z-GYEB-L,A11-S1-B2
HOK-SH-Z-LE-XL,A11-S1-B2
D-PC-M-32,A11-S1-B2
LPH-B-32,A11-S1-B2
HOK-SH-Z-LE-L,A11-S1-B2
KP-BLT2-M,A11-S1-B2
D-PC-M-34,A11-S1-B2
KP-WHT2-L,A11-S1-B2
KP-SG-36,A11-S1-B2
KP-GYO-S,A11-S1-B2
LPH-BL-32,A11-S1-B2
HOK-KRN-MMO-M,A11-S1-B3
HOK-KRN-MMO-L,A11-S1-B3
HOK-SH-GEO-LV-L,A11-S1-B3
HOK-SH-GEO-LV-M,A11-S1-B3
HOK-CARGOCDC-GRY-30,A11-S1-B3
HOK-SH-PCBD-L,A11-S1-B3
KP-WHT2-M,A11-S1-B3
HOK-SH-Z-GYEB-L,A11-S1-B3
HOK-CARGOB-OLIVE-36,A11-S1-B3
HOK-TEE-BLU-CUST-M,A11-S1-B3
HOK-SH-GEO-LV-XL,A11-S1-B3
HOK-KSB-WH-34,A11-S1-B3
HOK-KRN-MMO-XL,A11-S1-B4
KP-WHT2-M,A11-S1-B4
LPH-BL-36,A11-S1-B4
HOK-KSB-WH-32,A11-S1-B4
HOK-SH-GEO-LV-S,A11-S1-B4
HOK-SH-GEO-LV-M,A11-S1-B4
HOK-SH-GEO-LV-S,A11-S1-B4
KP-GR-36,A11-S1-B4
HOK-SH-KF-SG-XXL,A11-S1-B4
HOK-KSB-WH-32,A11-S1-B4
HOK-KRN-MMO-M,A11-S1-B4
HOK-KSO-WH-34,A11-S1-B4
HOK-TEE-OL-ACST-M,A11-S1-B5
HOK-TEE-KBOXBK-XL,A11-S1-B5
HOK-KRN-MMO-L,A11-S1-B5
HOK-KSO-WH-34,A11-S1-B5
HOK-KSO-WH-32,A11-S1-B5
HOK-KSB-WH-30,A11-S1-B5
HOK-PANTKP-KW-34,A11-S1-B5
HOK-SH-GEO-LV-M,A11-S1-B5
HOK-KSO-WH-32,A11-S1-B5
HOK-SH-GEO-BN-XL,A11-S1-B5
HOK-SH-GEO-LV-XL,A11-S1-B5
HOK-SH-GEO-LV-L,A11-S1-B5
HOK-SH-GEO-LV-L,A11-S1-B5
HOK-CARGOD-BKC-32,A11-S1-B6
HOK-KRN-GYT2-M,A11-S1-B6
HOK-KST1-BLK-34,A11-S1-B6
KP-GYO-XL,A11-S1-B6
KP-BE-30,A11-S1-B6
HOK-KTP-MMT1-28,A11-S1-B6
HOK-CARGOCDC-GRY-32,A11-S1-B6
HOK-CARGOP-DW-30,A11-S1-B6
HOK-S-SABS-32,A11-S1-B6
HOK-CARGOB-GREY-34,A11-S1-B6
HOK-SH-BLUEAB-XL,A11-S1-B6
HOK-KRN-GYT2-M,A11-S1-B6
HOK-SH-CR-BK-M,A11-S1-B7
HOK-CARGOB-GREY-34,A11-S1-B7
HOK-S-ORPINE-32,A11-S1-B7
HOK-S-ORPINE-30,A11-S1-B7
HOK-KRN-BLST-S,A11-S1-B7
LP-Z-RUST-L,A11-S1-B7
HOK-KRN-BLST-XL,A11-S1-B7
HOK-SHIRT-GAQUA-XL,A11-S1-B7
KP-WN-32,A11-S1-B7
G-SH-BE-L,A11-S1-B7
HOK-KRN-BLST-M,A11-S1-B7
HOK-S-ORPINE-32,A11-S1-B7
HOK-SH-PCBW-M,A11-S1-B8
HOK-CARGOP-BK-36,A11-S1-B8
HOK-TEE-WHITE-SATIN-XL,A11-S1-B8
HOK-SH-CR-LE-L,A11-S1-B8
HOK-TEE-BK-CASET-M,A11-S1-B8
HOK-CARGOD-GREY-36,A11-S1-B8
HOK-TEE-WHITE-CHEST-M,A11-S1-B8
G-SH-BE-M,A11-S1-B8
HOK-CARGOSC-BLK-32,A11-S1-B8
HOK-CARGOP-DP-32,A11-S1-B8
HOK-SH-CR-BK-S,A11-S1-B8
KP-WN-34,A11-S1-B8
HOK-TEE-WHITE-CHEST-L,A11-S1-B9
HOK-TEE-WHITE-CHEST-L,A11-S1-B9
HOK-TEE-BK-CASET-S,A11-S1-B9
HOK-CARGOCDC-GRY-32,A11-S1-B9
HOK-SH-CR-OW-L,A11-S1-B9
HOK-SH-BB-JGY-XL,A11-S1-B9
HOK-S-PAISLEY-34,A11-S1-B9
HOK-SH-PCMW-S,A11-S1-B9
HOK-CARGOB-GREY-36,A11-S1-B9
HOK-KST1-BLK-36,A11-S1-B9
HOK-CARGOD-BKC-32,A11-S1-B9
HOK-CARGOB-OLIVE-32,A11-S1-B9
HOK-SH-Z-RUST-M,A11-S1-B10
HOK-CARGOD-BKC-30,A11-S1-B10
HOK-KSO-MM-32,A11-S1-B10
HOK-SH-CR-NY-M,A11-S1-B10
HOK-SHIRT-FLMIX-S,A11-S1-B10
LPH-B-32,A11-S1-B10
HOK-PANTKP-SGRY-34,A11-S1-B10
HOK-SHIRT-PAISLEY-L,A11-S1-B10
HOK-CARGOD-GREY-30,A11-S1-B10
KP-WHT2-L,A11-S1-B10
KP-BLT2-M,A11-S1-B10
HOK-SH-PCMW-XL,A11-S1-B10
HOK-SH-KF-SG-L,A11-S1-B10
HOK-KST1-BLK-32,A11-S1-B10
KP-BK-32,A11-S1-B11
KP-SG-32,A11-S1-B11
KP-BLT2-L,A11-S1-B11
KP-BLT2-S,A11-S1-B11
HOK-SH-Z-LE-L,A11-S1-B11
KP-WHT2-XL,A11-S1-B11
KP-BLT2-L,A11-S1-B11
KP-GYO-M,A11-S1-B11
LPH-BL-34,A11-S1-B11
KP-BK-34,A11-S1-B11
KP-BK-30,A11-S1-B11
HOK-SH-Z-LE-S,A11-S1-B11
KP-SG-34,A11-S1-B12
HOK-SH-CR-BK-XL,A11-S1-B12
HOK-SH-Z-GYEB-XL,A11-S1-B12
KP-GYO-L,A11-S1-B12
HOK-KRN-BLST-M,A11-S1-B12
