Bin ,SKU
A14-S2-B1,8905723464233
A14-S2-B1,8905723481827
A14-S2-B1,8905723481704
A14-S2-B1,8905723481674
A14-S2-B1,8905723473136
A14-S2-B1,8905723465070
A14-S2-B1,8905723213855
A14-S2-B1,8905723457907
A14-S2-B1,8905723140632
A14-S2-B1,8905723461386
A14-S2-B1,8905723481940
A14-S2-B1,8905723461539
A14-S2-B1,8905723460037
A14-S2-B1,8905723456856
A14-S2-B1,8905723466022
A14-S2-B2,8905723482701
A14-S2-B2,8905723468583
A14-S2-B2,8905723460457
A14-S2-B2,8905723468682
A14-S2-B2,8905723467395
A14-S2-B2,8905723457211
A14-S2-B2,8905723467463
A14-S2-B2,8905723464479
A14-S2-B2,8905723458386
A14-S2-B2,8905723461973
A14-S2-B2,8905723213886
A14-S2-B2,8905723456610
A14-S2-B2,8905723464387
A14-S2-B2,8905723480035
A14-S2-B2,8905723468545
A14-S2-B3,8905723467074
A14-S2-B3,8905723466091
A14-S2-B3,8905723140977
A14-S2-B3,8905723457846
A14-S2-B3,8905723048631
A14-S2-B3,8905723458416
A14-S2-B3,8905723457181
A14-S2-B3,8905723371005
A14-S2-B3,8905723458355
A14-S2-B3,8905723462420
A14-S2-B3,8905723461508
A14-S2-B3,8905723464561
A14-S2-B3,8905723464530
A14-S2-B3,8905723461850
A14-S2-B3,8905723048785
A14-S2-B4,8905723140946
A14-S2-B4,8905723457365
A14-S2-B4,8905723456825
A14-S2-B4,8905723467487
A14-S2-B4,8905723481698
A14-S2-B4,8905723464905
A14-S2-B4,8905723465032
A14-S2-B4,8905723457204
A14-S2-B4,8905723456597
A14-S2-B4,8905723456603
A14-S2-B4,8905723464493
A14-S2-B4,8905723460075
A14-S2-B4,8905723480028
A14-S2-B4,8905723467470
A14-S2-B4,8905723460617
A14-S2-B5,8905723467265
A14-S2-B5,8905723481810
A14-S2-B5,8905723371012
A14-S2-B5,8905723371012
A14-S2-B5,8905723467265
A14-S2-B5,8905723467470
A14-S2-B5,8905723460082
A14-S2-B5,8905723460617
A14-S2-B5,8905723467487
A14-S2-B5,8905723481698
A14-S2-B5,8905723481681
A14-S2-B5,8905723460082
A14-S2-B5,8905723479961
A14-S2-B5,8905723457204
A14-S2-B5,8905723464493
A14-S2-B6,8905723464547
A14-S2-B6,8905723460075
A14-S2-B6,8905723482688
A14-S2-B6,8905723482589
A14-S2-B6,8905723464363
A14-S2-B6,8905723482688
A14-S2-B6,8905723464363
A14-S2-B6,8905723466282
A14-S2-B6,8905723466282
A14-S2-B6,8905723456597
A14-S2-B6,8905723464547
A14-S2-B6,8905723482589
A14-S2-B6,8905723464905
A14-S2-B6,8905723465032
A14-S2-B6,8905723464370
A14-S2-B7,8905723479961
A14-S2-B7,8905723456603
A14-S2-B7,8905723464370
A14-S2-B7,8905723480028
A14-S2-B7,8905723372798
A14-S2-B7,8905723461393
A14-S2-B7,8905723462413
A14-S2-B7,8905723461393
A14-S2-B7,8905723466299
