SKU,Remark
HOK-TEE-BLU-CUST-L,STAIN ON PRODUCT
HOK-SHIRT-AFLW-M,STAIN ON PRODUCT
HOK-TEE-WHITE-CHEST-L,STAIN ON PRODUCT
KP-WN-34,STAIN ON PRODUCT
KP-BE-34,STAIN ON PRODUCT
HOK-CARGOB-BK-32,STAIN ON PRODUCT
HOK-KSB-WH-32,STAIN ON PRODUCT
HOK-KSB-WH-32,STAIN ON PRODUCT
HOK-SH-BLUEAB-M,STAIN ON PRODUCT
HOK-CARGOP-WH-30,STAIN ON PRODUCT
HOK-SH-KHS-PK-L,STAIN ON PRODUCT
HOK-SH-PCBW-M,STAIN ON PRODUCT
LP-KH-PK-M,STAIN ON PRODUCT
HOK-SH-KHS-PK-XL,STAIN ON PRODUCT
HOK-KRN-WHB-L,STAIN ON PRODUCT
D-PC-M-32,STAIN ON PRODUCT
HOK-TEE-WHITE-CASET-L,STAIN ON PRODUCT
HOK-CARGOP-WH-32,STAIN ON PRODUCT
HOK-TEE-WHITE-CASET-L,STAIN ON PRODUCT
HOK-TEE-WHITE-CASET-L,STAIN ON PRODUCT
HOK-TEE-WHITE-CASET-S,STAIN ON PRODUCT
HOK-CARGOP-GRY-28,STAIN ON PRODUCT
HOK-SS-GR-L,STAIN ON PRODUCT
HOK-CARGOP-WH-34,STAIN ON PRODUCT
HOK-TEE-WHITE-CASET-M,STAIN ON PRODUCT
HOK-CARGOB-GREY-32,STAIN ON PRODUCT
HOK-KSB-WH-34,STAIN ON PRODUCT
HOK-SH-BLUEAB-L,STAIN ON PRODUCT
HOK-TEE-WHITE-SATIN-L,STAIN ON PRODUCT
